IS_top_5_league,Based_rich_nation,Is_top_ranked_nation,EU_National,Caps,Apps,Age,Reputation,Is_top_prev_club,Last_Transfer_Fee,Salary
1,1,2,0,0.27,0.4593241551939925,0.4285714285714285,0.750251256281407,0,0,9097000.0
1,1,2,1,0.095,0.5131414267834794,0.5357142857142857,0.7236180904522613,0,0,8975000.0
1,1,2,1,0.06,0.1439299123904881,0.1071428571428571,0.8212060301507538,0,0,8975000.0
1,1,0,1,0.04,0.42928660826032544,0.4285714285714285,0.798894472361809,0,0,8975000.0
1,1,2,1,0.185,0.3642052565707134,0.3928571428571429,0.7808040201005025,1,0,8970000.0
1,1,2,1,0.095,0.21401752190237797,0.25,0.8146733668341708,0,0,8923000.0
1,1,2,0,0.02,0.2665832290362954,0.2857142857142857,0.782713567839196,0,0,8897000.0
0,1,2,1,0.0,0.3216520650813517,0.4285714285714285,0.6733668341708543,0,0,8603000.0
1,1,2,1,0.025,0.32040050062578224,0.3928571428571429,0.704824120603015,0,0,8580000.0
1,1,2,1,0.33,0.409261576971214,0.4285714285714285,0.7778894472361809,0,0,8580000.0
1,1,2,1,0.095,0.24405506883604505,0.3214285714285714,0.6720603015075377,1,0,8490000.0
1,1,1,1,0.15,0.18147684605757197,0.2142857142857143,0.803819095477387,1,0,8490000.0
1,1,0,0,0.16,0.10763454317897372,0.1428571428571429,0.8112562814070352,0,0,8490000.0
1,1,1,0,0.08,0.1677096370463079,0.25,0.7908542713567839,1,0,8490000.0
1,1,2,1,0.16,0.32290362953692114,0.3214285714285714,0.7781909547738693,0,0,8490000.0
1,1,1,1,0.38,0.5769712140175219,0.6071428571428571,0.7768844221105528,1,0,8477000.0
1,1,1,1,0.13,0.25782227784730916,0.3214285714285714,0.7437185929648241,0,0,8477000.0
1,1,0,1,0.085,0.38673341677096373,0.4285714285714285,0.6984924623115578,1,0,8477000.0
0,0,2,1,0.055,0.2991239048811014,0.4642857142857143,0.6884422110552764,1,0,8377000.0
1,1,1,0,0.265,0.19274092615769714,0.3214285714285714,0.7748743718592965,1,0,8360000.0
1,1,2,1,0.19,0.4568210262828536,0.4285714285714285,0.7773869346733668,1,0,8330000.0
1,1,2,1,0.05,0.17146433041301629,0.1071428571428571,0.8654271356783919,0,0,8277000.0
1,1,2,1,0.315,0.4355444305381727,0.4999999999999999,0.7236180904522613,1,0,8187000.0
0,1,0,1,0.275,0.46307884856070086,0.4642857142857143,0.6733668341708543,0,0,8165000.0
0,1,2,1,0.06,0.3742177722152691,0.4642857142857143,0.6791959798994974,1,0,8141000.0
1,1,2,1,0.07,0.2327909887359199,0.2142857142857143,0.7856281407035176,0,0,8035000.0
1,1,2,1,0.07,0.19524405506883605,0.1785714285714286,0.8417085427135679,0,0,8014000.0
1,1,2,1,0.12,0.48685857321652065,0.5714285714285715,0.7417085427135678,0,0,8014000.0
1,1,2,1,0.08,0.29161451814768463,0.3928571428571429,0.7577889447236181,1,0,8000000.0
1,1,0,0,0.20500000000000002,0.23779724655819776,0.1785714285714286,0.781608040201005,0,0,7978000.0
1,1,1,1,0.20500000000000002,0.38673341677096373,0.4285714285714285,0.7306532663316583,1,0,7978000.0
0,1,2,1,0.655,0.7672090112640801,0.7857142857142857,0.6414070351758794,0,0,7978000.0
1,1,1,1,0.115,0.2127659574468085,0.2857142857142857,0.7451256281407035,1,0,7978000.0
1,1,2,1,0.23,0.37922403003754696,0.4642857142857143,0.72,0,0,7884000.0
1,1,2,0,0.11,0.13516896120150187,0.2142857142857143,0.7692462311557788,0,0,7884000.0
1,1,2,1,0.055,0.16520650813516896,0.2857142857142857,0.7586934673366834,0,0,7884000.0
1,1,2,0,0.125,0.16645807259073842,0.2142857142857143,0.845427135678392,0,0,7884000.0
1,1,2,1,0.21,0.23028785982478098,0.3214285714285714,0.757286432160804,0,0,7884000.0
1,1,2,1,0.005,0.16896120150187735,0.2142857142857143,0.7653266331658292,0,0,7884000.0
1,1,1,1,0.255,0.28911138923654567,0.3928571428571429,0.7673366834170854,1,0,7884000.0
1,1,1,0,0.48,0.4730913642052566,0.5714285714285715,0.7042211055276382,1,0,7884000.0
1,1,2,1,0.095,0.5068836045056321,0.5714285714285715,0.7279396984924623,1,0,7779000.0
1,1,1,1,0.17,0.48185231539424284,0.4999999999999999,0.8667336683417085,0,0,7779000.0
1,1,2,1,0.085,0.26282853566958697,0.2857142857142857,0.7933668341708543,1,0,7729000.0
1,1,2,1,0.05,0.26783479349186484,0.3214285714285714,0.8033165829145729,0,0,7690000.0
1,1,2,1,0.245,0.2728410513141427,0.3571428571428571,0.798894472361809,1,0,7592000.0
0,0,1,1,0.5700000000000001,0.5018773466833542,0.4999999999999999,0.6954773869346733,0,0,7590000.0
1,1,2,0,0.15,0.23153942428035043,0.4999999999999999,0.794572864321608,1,0,7580000.0
1,1,2,0,0.015,0.41301627033792243,0.4999999999999999,0.6723618090452261,0,0,7580000.0
1,1,2,1,0.105,0.0951188986232791,0.0714285714285714,0.7812060301507537,0,0,7500000.0
1,1,1,1,0.06,0.21526908635794745,0.25,0.8548743718592965,0,0,7500000.0
0,0,2,1,0.04,0.39549436795994997,0.4642857142857143,0.795678391959799,1,0,7500000.0
1,1,0,1,0.36,0.45056320400500627,0.6071428571428571,0.6834170854271356,0,0,7479000.0
1,1,1,1,0.355,0.49436795994993743,0.4285714285714285,0.7505527638190955,1,0,7479000.0
1,1,0,1,0.17500000000000002,0.25156445556946183,0.3571428571428571,0.7236180904522613,1,0,7479000.0
1,1,2,1,0.28,0.5168961201501877,0.5714285714285715,0.749748743718593,1,0,7410000.0
1,1,1,1,0.0,0.1439299123904881,0.25,0.7550753768844221,1,0,7280000.0
1,1,1,0,0.015,0.09762202753441802,0.1785714285714286,0.7333668341708542,0,0,7277000.0
1,1,2,1,0.01,0.14643304130162704,0.1785714285714286,0.7085427135678392,0,0,7277000.0
1,1,2,0,0.055,0.2753441802252816,0.3214285714285714,0.7476381909547739,0,0,7277000.0
1,1,2,1,0.035,0.2553191489361702,0.3214285714285714,0.6613065326633166,0,0,7277000.0
1,1,0,1,0.01,0.3829787234042553,0.4642857142857143,0.6766834170854271,0,0,7277000.0
1,1,2,1,0.095,0.2978723404255319,0.3214285714285714,0.7905527638190954,0,0,7277000.0
1,1,2,0,0.295,0.295369211514393,0.3214285714285714,0.8217085427135679,1,0,7277000.0
1,1,0,1,0.255,0.3504380475594493,0.25,0.868140703517588,1,0,7277000.0
1,1,2,0,0.015,0.23529411764705882,0.2857142857142857,0.7386934673366834,0,0,7277000.0
1,1,2,1,0.025,0.2828535669586984,0.4642857142857143,0.6887437185929648,1,0,7277000.0
1,1,1,1,0.16,0.20400500625782228,0.1785714285714286,0.7744723618090452,0,0,7277000.0
1,1,2,1,0.725,0.7246558197747184,0.6785714285714285,0.6984924623115578,0,0,7277000.0
1,1,2,0,0.005,0.2728410513141427,0.2857142857142857,0.7241206030150754,0,0,7277000.0
1,1,1,1,0.2,0.23404255319148937,0.2142857142857143,0.788643216080402,0,0,7277000.0
1,1,2,1,0.145,0.31789737171464333,0.4642857142857143,0.6381909547738693,1,0,7277000.0
1,1,2,0,0.08,0.18898623279098875,0.2857142857142857,0.7782914572864321,1,0,7277000.0
1,1,0,1,0.135,0.42428035043804757,0.5357142857142857,0.757286432160804,0,0,7152000.0
1,1,2,1,0.185,0.3742177722152691,0.3571428571428571,0.8083417085427136,1,0,7123000.0
1,1,0,1,0.23,0.26032540675844806,0.2857142857142857,0.7587939698492462,0,0,7040000.0
1,1,2,1,0.295,0.4793491864831039,0.4999999999999999,0.7277386934673367,0,0,7040000.0
0,0,2,1,0.27,0.5932415519399249,0.5357142857142857,0.6996984924623115,1,0,7001000.0
1,1,2,1,0.265,0.3742177722152691,0.3571428571428571,0.7015075376884422,0,0,6981000.0
1,1,2,1,0.215,0.655819774718398,0.6071428571428571,0.7157788944723618,1,0,6981000.0
1,1,1,1,0.24,0.5219023779724656,0.6071428571428571,0.7393969849246231,0,0,6981000.0
1,1,2,1,0.31,0.4192740926157697,0.4999999999999999,0.6532663316582914,1,0,6981000.0
1,1,1,1,0.21,0.36921151439299127,0.3571428571428571,0.7728643216080402,0,0,6981000.0
0,0,1,0,0.545,0.523153942428035,0.6428571428571429,0.648643216080402,1,0,6949000.0
1,1,1,0,0.125,0.1964956195244055,0.25,0.8460301507537689,0,0,6864000.0
1,1,0,1,0.245,0.32665832290362956,0.3571428571428571,0.72,0,0,6811000.0
1,1,0,0,0.195,0.24405506883604505,0.3214285714285714,0.7584924623115578,0,0,6671000.0
1,1,2,1,0.005,0.2665832290362954,0.2857142857142857,0.7264321608040201,0,0,6671000.0
1,1,2,1,0.13,0.3904881101376721,0.3928571428571429,0.7703517587939699,0,0,6671000.0
1,1,2,1,0.085,0.19274092615769714,0.25,0.7727638190954774,0,0,6671000.0
1,1,2,1,0.075,0.15394242803504382,0.1785714285714286,0.7552763819095477,1,0,6671000.0
1,1,0,0,0.17,0.26783479349186484,0.3571428571428571,0.7720603015075377,0,0,6671000.0
1,1,2,1,0.24,0.5156445556946183,0.4999999999999999,0.7447236180904523,1,0,6671000.0
1,1,1,1,0.335,0.40175219023779724,0.3928571428571429,0.6979899497487437,0,0,6671000.0
1,1,2,1,0.11,0.4831038798498123,0.4999999999999999,0.7618090452261307,1,0,6671000.0
1,1,2,1,0.53,0.7246558197747184,0.6428571428571429,0.6931658291457287,1,0,6500000.0
1,1,1,1,0.405,0.4831038798498123,0.4999999999999999,0.6984924623115578,0,0,6482000.0
1,1,1,1,0.5750000000000001,0.5206508135168961,0.4642857142857143,0.7661306532663317,1,0,6482000.0
1,1,1,1,0.09,0.21526908635794745,0.2857142857142857,0.7144723618090452,0,0,6482000.0
1,1,0,1,0.05,0.411764705882353,0.4642857142857143,0.7223115577889447,1,0,6481000.0
1,1,1,1,0.41000000000000003,0.4192740926157697,0.4285714285714285,0.7603015075376884,0,0,6480000.0
1,1,2,1,0.035,0.24405506883604505,0.4285714285714285,0.6834170854271356,0,0,6480000.0
1,1,2,1,0.13,0.2878598247809762,0.3571428571428571,0.7341708542713568,0,0,6480000.0
1,1,2,1,0.095,0.344180225281602,0.4285714285714285,0.6939698492462312,0,0,6480000.0
1,1,2,1,0.045,0.25156445556946183,0.3571428571428571,0.7351758793969849,0,0,6480000.0
1,1,2,1,0.135,0.32040050062578224,0.3571428571428571,0.7377889447236181,0,0,6475000.0
1,1,2,1,0.125,0.3241551939924906,0.4642857142857143,0.7386934673366834,0,0,6411000.0
0,0,0,0,0.145,0.5506883604505632,0.4642857142857143,0.7415075376884422,0,0,6408000.0
1,1,0,1,0.17500000000000002,0.3141426783479349,0.3928571428571429,0.6834170854271356,0,0,6368000.0
